Auge,eye
Bauch,tummy
Bein,leg
Gesicht,face
Haare,hair
Hals,neck/throat
Knie,knee
Körper,body
Mund,mouth
Nase,nose
Ohr,ear
Schulter,shoulder
angeln,to fish
Angelrute,fishing rod
Bad,bath
baden,to bathe
Badeanzughose,swimming trunks
Badeort,seaside resort
bewegen,to move
Endspiel,final
Freibad,swimming pool
Fuß,foot
Fußball,football
gewinnen,to win
Hallenbad,indoor swimming pool
joggen,to jog
Kanufahren,canoeing
kegeln,to play skittles
klettern,to climb
laufen,to run
Leichtathletik,athletics
Liga,league
Mannschaft,team
Netz,net
Reiten,horse riding
rennen,to run
Rennen,race
Rollbrett,skateboard
Roller,scooter
Rollschuhlaufen,to roller skate
Ruderboot,rowing boat
rudern,to row
schießen,to shoot
schlagen,to hit
Schläger,racquet
Schließfach,locker
Schlittschuhlaufen,to ice skate
Schwimmbad,swimming pool
schwimmen,to swim
See,lake/sea
segeln,to sail
Skifahren,to ski
Skilehrer,ski instructor
spazierengehen,to go for a walk
Spaziergang,walk
Spiel,game/match
spielen,to play
Spieler,player
Spielzeug,toy
Sport treiben,to do sport
Sportplatz,sports ground
springen,to jump
Stadion,stadium
steigen,to climb
Surfbrett,surfboard
Tor,gate/goal
Umkleideraum,changing room
Verein,club
verlieren,to lose
wandern,to hike
Wanderung,hike
werfen,to throw
windsurfen,to windsurf
Biene,bee
Erkältung,a cold
Fieber,fever
Fliege,fly
fühlen,to feel
Gefühl,feeling
gesund,healthy
Grippe,flu
Halsschmerzen,sore throat
Hansaplast,sticking plaster/plaster
Heftpflaster,sticking plaster
helfen,to help
Husten,cough
husten,to cough
Kopfschmerzen,headache
krank,ill
Krankenhaus,hospital
Krankenpfleger,male nurse
Krankenschwester,female nurse
Krankenwagen,ambulance
Magenschmerzen,stomachache
Medikament,medicine
Operation,medical operation
Patient,patient
Rezept,prescription
Schmerzhaft,painful
Schnupfen,cold
seekrank,seasick
sprechen,to speak
Sprechstunde,surgery hours
stechen,to sting
Stich,sting
Tablette,tablet/pill
Unfall,accident
verletzen,to injure
weh tun,to hurt
Wespe,wasp
Wunde,wound
Zahnschmerzen,toothache
Zahnarzt,dentist
Zahnbürste,toothbrush
Zahnpasta,toothpaste
Anfänger,beginner
bluten,to bleed
Blutprobe,blood test
brennen,to burn
Brust,chest
Chirurg,surgeon
Durchfall,diarrhoea
Ellbogen,elbow
erbrechen,to be sick
Ereignis,event
Erfolg,success
Ergebnis,result/score
erhalten,to receive
erholen,to recover
Erleichterung,relief
erreichen,to reach/to catch
erste Hilfe,first aid
fangen,to catch
Fußgelenk,ankle
Gehirn,brain
Geruch,smell
geschwollen,swollen
Gipsverband,plaster
Glatze,bald,patch
Handgelenk,wrist
Haut,skin
heben,to lift/raise
Heimweh,homesickness
Helm,helmet
Heuschnupfen,hay fever
Höhe,height
Höhle,cave
Hustensaft,cough mixture
jagen,to hunt
Kinn,chin
Knochen,bone
leiden,to suffer
Magenverstimmung,stomach upset
Meister,champion
Menge,quantity
messen,to measure
nackt,naked
Pfeil,arrow
pflegen,to look after
Pokal,trophy
Röntgenbild,x-ray
Salbe,cream/ointment/salve
schaden,to do harm
Schaden,damage
Schiedsrichter,referee
schlucken,to swallow
Sieg,win/victory
Sonnenstich,sun stroke
Sorge,worry
sorgen für,to look after
Spritze,injection
tauchen,to dive
teilnehmen,to take part
Turnier,tournament
übergeben,to be sick
unentschieden,undecided
untersuchen,to examine
Verband,bandage
verstauchen,to sprain
verstopft,constipated
Wange,cheek
Wettbewerb,competition
Wettkampf,competition
Zeh,toe
Zunge,tongue
Abendessen,dinner
Durst,thirst
Durstig,thirsty
Flamme,flame
Flasche,bottle
frisch,fresh
Frühstück,breakfast
Gabel,fork
gemischt,mixed
Gericht,dish/course
Geschirr(tuch),crockery
Geschirrtuch,tea towel
Getränk,drink
grillen,to grill/barbecue
Imbiss,snack
Imbiss(stube),snack bar
Kännchen,small pot
Kantine,canteen
Küche,kitchen
lecker,delicious
Löffel,spoon
Mahlzeit,enjoy you meal
Messer,knife
Mittagessen,lunch
Nachtisch,dessert
schmecken,to taste
schnell,quick
Schnellimbiss,fast food restaurant
Schüssel,bowl
Selbstbedienung,self-service
Speisekarte,menu
Speisewagen,dining,car
Supermarkt,supermarket,
süß,sweet
Tageskarte,menu
Tasse,cup
Tee,tea
Teekanne,teapot
Teller,plate
